bowl,wickets,runs,balls,econ,avg
Ahsan Jamil,0,11,6,11.0,
Ahsan Khan,6,307,199,9.26,51.17
Ahsan Malik,20,311,247,7.55,15.55
Aich Mollah,2,74,54,8.22,37.0
Aidan Andrews,5,61,62,5.9,12.2
Aidan Brooker,8,145,116,7.5,18.12
Aiden Leo,9,138,121,6.84,15.33
Aiden Markram,49,1442,1159,7.47,29.43
Aimal Khan,4,178,93,11.48,44.5
Ainsley Ndlovu,49,1169,993,7.06,23.86
Aishah Chibanda,2,15,12,7.5,7.5
Aizaz Cheema,36,751,544,8.28,20.86
Aizaz Khan,106,2250,1784,7.57,21.23
Ajantha Mendis,43,794,597,7.98,18.47
Ajay Dev Goud,6,99,66,9.0,16.5
Ajay Kumar,8,166,141,7.06,20.75
Ajay Lalcheta,11,484,402,7.22,44.0
Ajay Mandal,7,94,97,5.81,13.43
Ajay Sarkar,2,64,57,6.74,32.0
Ajaz Patel,83,1778,1468,7.27,21.42
Ajeet Dale,0,44,18,14.67,
Ajeet Singh Dale,20,606,369,9.85,30.3
Ajhar Alam,3,108,69,9.39,36.0
Ajith Augastin,5,82,77,6.39,16.4
Ajmal Shahzad,11,203,155,7.86,18.45
Ajoy Sarkar,3,51,72,4.25,17.0
Akalanka Ganegama,13,389,302,7.73,29.92
Akash Babu,0,11,6,11.0,
Akash Choudhary,0,17,25,4.08,
Akash Deep,20,749,463,9.71,37.45
Akash Gulati,2,83,42,11.86,41.5
Akash Madhwal,33,689,463,8.93,20.88
Akash Pandey,6,78,54,8.67,13.0
Akash Parkar,1,59,30,11.8,59.0
Akash Senaratne,23,301,320,5.64,13.09
Akash Sengupta,8,91,70,7.8,11.38
Akash Singh,12,530,356,8.93,44.17
Akash Vasisht,5,102,96,6.38,20.4
Akbar-ur-Rehman,3,188,140,8.06,62.67
Akeal Hosein,238,5571,4823,6.93,23.41
Akeem Jordan,5,85,55,9.27,17.0
Akhere Isesele,5,79,55,8.62,15.8
Akhil Anil,20,393,383,6.16,19.65
Akhil Arjunan,13,299,282,6.36,23.0
Akhil Kumar,11,250,203,7.39,22.73
Akhilesh Reddy,1,85,97,5.26,85.0
Akhona Kula,8,212,190,6.69,26.5
Akhona Mnyaka,14,376,271,8.32,26.86
Akhtar Shah,1,40,21,11.43,40.0
Akif Javed,62,1336,1024,7.83,21.55
Akif Raja,23,719,523,8.25,31.26
Akila Dananjaya,138,2946,2363,7.48,21.35
Akila Dilshan,3,30,19,9.47,10.0
Akila Isanka,8,145,97,8.97,18.12
Akila Jayasundera,0,39,13,18.0,
Akila Kalugala,3,51,45,6.8,17.0
Akila Shenesh,2,54,38,8.53,27.0
Akramullah Malikzada,1,21,12,10.5,21.0
Aks Swadhin,7,193,128,9.05,27.57
Akshat Pandey,1,137,90,9.13,137.0
Akshay Chandran,0,24,12,12.0,
Akshay Daxini,0,24,11,13.09,
Akshay Karnewar,8,249,225,6.64,31.12
Akshay Naidoo,0,52,18,17.33,
Akshay Puri,34,922,721,7.67,27.12
Akshay Wakhare,6,209,156,8.04,34.83
Akshu Fernando,7,149,128,6.98,21.29
Akthab Cader,1,33,25,7.92,33.0
Al Islam,40,930,852,6.55,23.25
Al-Amin,8,241,177,8.17,30.12
Al-Amin Hossain,123,3037,2223,8.2,24.69
Alain Toube,5,182,143,7.64,36.4
Alam Nakash,6,155,137,6.79,25.83
Alan Kirschbaum,27,467,488,5.74,17.3
Alankara Asanka Silva,53,796,772,6.19,15.02
Alasdair Evans,52,1042,842,7.43,20.04
Alauddin Babu,46,948,677,8.4,20.61
Albie Morkel,41,653,623,6.29,15.93
Alei Nao,26,430,441,5.85,16.54
Aleksa Djorovic,1,203,118,10.32,203.0
Aleksa Lazic,0,29,12,14.5,
Alen Magdalenic,0,81,38,12.79,
Alessandro Morris,28,515,521,5.93,18.39
Alex Amsterdam,1,23,18,7.67,23.0
Alex Blake,1,96,80,7.2,96.0
Alex Cusack,10,177,159,6.68,17.7
Alex Falao,6,151,116,7.81,25.17
Alex Hepburn,6,108,76,8.53,18.0
Alex Hughes,59,1836,1388,7.94,31.12
Alex Langham,0,16,7,13.71,
Alex Osei,0,7,6,7.0,
Alex Russell,2,78,63,7.43,39.0
Alex Sawyer,0,12,6,12.0,
Alex Stokoe,3,67,74,5.43,22.33
Alex Thomson,27,940,667,8.46,34.81
Alexander Busing-Volschenk,4,54,43,7.53,13.5
Alexander Dizija,3,128,67,11.46,42.67
Alexander Haggan,1,16,12,8.0,16.0
