team,matches,wins,win_pct
Mongolia,14,0,0.0
Moors Sports Club,53,34,64.2
Mountaineers,40,20,50.0
Mozambique,24,9,37.5
Mpumalanga,10,1,10.0
Multan,3,0,0.0
Multan Region,4,2,50.0
Multan Sultans,87,45,51.7
Mumbai,24,15,62.5
Mumbai Indians,167,88,52.7
Munster Reds,51,17,33.3
Myanmar,25,6,24.0
Nagaland,6,0,0.0
Namibia,115,60,52.2
Namibia A,7,3,42.9
Nangarhar Leopards,9,3,33.3
Negambo Cricket Club,5,2,40.0
Negombo Cricket Club,25,10,40.0
Nelson Mandela Bay Giants,20,10,50.0
Nepal,119,69,58.0
Nepal A,3,1,33.3
Netherlands,102,51,50.0
New Zealand,162,91,56.2
New Zealand A,3,2,66.7
Nigeria,92,49,53.3
Nondescripts Cricket Club,63,44,69.8
North West,43,19,44.2
North-West Warriors,51,15,29.4
Northamptonshire,148,69,46.6
Northern (Pakistan),24,15,62.5
Northern Cape,26,12,46.2
Northern Districts,72,41,56.9
Northern Knights,53,29,54.7
Northern Superchargers (Men),39,19,48.7
Northerns,25,17,68.0
Northerns (Zimbabwe),3,3,100.0
Norway,47,25,53.2
Nottinghamshire,151,85,56.3
Nugegoda Sports Welfare Club,25,8,32.0
Odisha,4,0,0.0
Old DOHS Sports Club,13,3,23.1
Oman,119,58,48.7
Otago,70,23,32.9
Oval Invincibles (Men),42,29,69.0
Paarl Rocks,20,12,60.0
Paarl Royals,34,16,47.1
Pakistan,192,106,55.2
Pakistan A,19,3,15.8
Paktia Panthers,9,5,55.6
Pamir Legends,7,3,42.9
Pamir Zalmi,7,0,0.0
Panadura Sports Club,39,20,51.3
Panama,22,7,31.8
Papua New Guinea,66,32,48.5
Partex Sporting Club,13,0,0.0
Perth Scorchers,128,75,58.6
Peshawar,18,6,33.3
Peshawar Region,8,7,87.5
Peshawar Zalmi,114,59,51.8
Philippines,40,17,42.5
Police Sports Club,35,9,25.7
Portugal,35,26,74.3
Pretoria Capitals,29,13,44.8
Prime Bank Cricket Club,19,13,68.4
Prime Doleshwar Sporting Club,21,11,52.4
Prime Minister's XI,1,0,0.0
Puducherry,9,3,33.3
Punjab,25,17,68.0
Punjab Kings,158,34,21.5
Qatar,63,31,49.2
Quetta Gladiators,104,52,50.0
Quetta Region,1,0,0.0
Ragama Cricket Club,48,27,56.2
Railways,9,2,22.2
Rajasthan,18,8,44.4
Rajasthan Royals,131,60,45.8
Rajshahi Division,7,2,28.6
Rajshahi Royals,54,10,18.5
Rangpur Division,9,6,66.7
Rangpur Rangers,65,5,7.7
Rangpur Riders,50,31,62.0
Rawalpindi,20,4,20.0
Rawalpindi Region,5,2,40.0
Rising Pune Supergiant,30,10,33.3
Romania,58,35,60.3
Royal Challengers Bangalore,133,62,46.6
Royal Challengers Bengaluru,30,18,60.0
Rwanda,105,34,32.4
SLC Blues,14,4,28.6
SLC Greens,18,7,38.9
SLC Greys,14,8,57.1
SLC Reds,14,9,64.3
SLC Yellow,4,1,25.0
Samoa,23,5,21.7
San Francisco Unicorns,20,13,65.0
Saracens Sports Club,40,23,57.5
Saudi Arabia,57,30,52.6
Saurashtra,13,8,61.5
Scotland,85,44,51.8
Seattle Orcas,17,4,23.5
Sebastianites Cricket and Athletic Club,14,5,35.7
Serbia,39,14,35.9
Services,3,1,33.3
Seychelles,16,2,12.5
Sharjah Warriors,10,4,40.0
Sharjah Warriorz,17,7,41.2
Sheikh Jamal Dhanmondi Club,20,13,65.0
Shinepukur Cricket Club,14,6,42.9
Sialkot Region,3,2,66.7
Sialkot Stallions,5,4,80.0
Sierra Leone,42,13,31.0
Sindh,24,13,54.2
Singapore,69,24,34.8
Sinhalese Sports Club,48,28,58.3
Slovenia,14,0,0.0
Somerset,159,95,59.7
South Africa,142,72,50.7
South Africa A,6,4,66.7
South Africa Under-19s,3,0,0.0
South Korea,18,2,11.1
South Western Districts,25,8,32.0
Southern Brave (Men),44,23,52.3
Southern Punjab (Pakistan),22,8,36.4
Southern Rocks,29,14,48.3
Southerns,3,0,0.0
Spain,42,35,83.3
Speen Ghar Region,7,2,28.6
Speen Ghar Tigers,41,16,39.0
Sri Lanka,153,57,37.3
Sri Lanka A,9,5,55.6
Sri Lanka Air Force Sports Club,32,16,50.0
Sri Lanka Army,52,6,11.5
Sri Lanka Cricket Development XI,4,2,50.0
Sri Lanka Navy Sports Club,26,5,19.2
St Helena,10,3,30.0
St Kitts and Nevis Patriots,112,41,36.6
St Lucia Kings,115,28,24.3
Sunrisers Eastern Cape,35,22,62.9
Sunrisers Hyderabad,165,78,47.3
Suriname,7,2,28.6
Surrey,153,87,56.9
Sussex,149,72,48.3
Swaziland,6,1,16.7
Sweden,33,12,36.4
Switzerland,31,18,58.1
Sydney Sixers,129,70,54.3
Sydney Thunder,123,56,45.5
Sylhet Division,6,1,16.7
Sylhet Strikers,39,17,43.6
Sylhet Sunrisers,44,1,2.3
Sylhet Super Stars,10,3,30.0
Tamil Nadu,17,12,70.6
Tamil Union Cricket and Athletic Club,54,30,55.6
Tanzania,67,39,58.2
Texas Super Kings,19,11,57.9
Thailand,57,21,36.8
Timor-Leste,8,0,0.0
Titans,69,49,71.0
Trent Rockets (Men),42,25,59.5
Trinbago Knight Riders,130,74,56.9
Tripura,6,3,50.0
Tshwane Spartans,19,8,42.1
Turkey,15,2,13.3
Turks and Caicos Island,4,1,25.0
Uganda,108,82,75.9
Unichela Sports Club,6,0,0.0
United Arab Emirates,141,75,53.2
United States of America,58,31,53.4
Uttar Pradesh,14,8,57.1
Uttara Sporting Club,2,1,50.0
Uttarakhand,4,3,75.0
Vanuatu,31,13,41.9
Victoria,4,3,75.0
Vidarbha,13,5,38.5
Warriors,64,27,42.2
Warwickshire,154,27,17.5
Washington Freedom,20,15,75.0
Wellington,72,38,52.8
Welsh Fire (Men),40,11,27.5
West Indies,167,69,41.3
West Indies A,5,3,60.0
Western Province,40,15,37.5
Worcestershire,148,66,44.6
World-XI,4,1,25.0
Yorkshire,140,65,46.4
Zambia,10,4,40.0
Zimbabwe,159,60,37.7
Zimbabwe A,3,1,33.3
Zimbabwe President's XI,2,1,50.0
Zimbabwe Select XI,4,3,75.0
Zimbabwe XI,5,1,20.0
