bowl,wickets,runs,balls,econ,avg
Regan West,8,273,461,3.55,34.12
Mohammad Ashraful,8,338,379,5.35,42.25
Khaled Mahmud,7,313,357,5.26,44.71
Jason Krejza,7,331,430,4.62,47.29
Bilawal Bhatti,7,439,420,6.27,62.71
Adam Voges,7,276,307,5.39,39.43
Adeel Raja,7,377,485,4.66,53.86
Krishna Chandran,7,431,423,6.11,61.57
Billy Stanlake,7,324,359,5.42,46.29
Mohammad Kashif,7,264,311,5.09,37.71
Danish Kaneria,7,300,317,5.68,42.86
Jai Prakash Yadav,7,291,367,4.76,41.57
Ragheb Aga,7,243,335,4.35,34.71
Karim Sadiq,7,201,330,3.65,28.71
Fawad Alam,6,377,402,5.63,62.83
Danushka Gunathilaka,6,296,309,5.75,49.33
Taijul Islam,6,220,345,3.83,36.67
Nathan Astle,6,397,441,5.4,66.17
Brendan Nash,6,221,301,4.41,36.83
Virat Kohli,6,665,650,6.14,110.83
Tinotenda Mutombodzi,6,278,320,5.21,46.33
Narsingh Deonarine,6,474,511,5.57,79.0
Nelson Odhiambo,6,255,342,4.47,42.5
Janeiro Tucker,6,425,480,5.31,70.83
Gavin Tonge,6,224,307,4.38,37.33
Anderson Cummins,6,282,324,5.22,47.0
Dilhara Lokuhettige,6,261,346,4.53,43.5
Chaturanga de Silva,5,256,319,4.82,51.2
Anton Devcich,5,291,335,5.21,58.2
Vishwa Fernando,5,337,308,6.56,67.4
Aftab Ahmed,5,470,496,5.69,94.0
Matthew Hoggard,5,335,343,5.86,67.0
Michael Swart,5,293,356,4.94,58.6
Glenn Rogers,5,266,307,5.2,53.2
Fabian Allen,5,360,360,6.0,72.0
Natsai M'shangwe,4,260,341,4.57,65.0
Paul Hoffmann,4,250,352,4.26,62.5
Junaid Siddiqui,3,267,371,4.32,89.0
Sabbir Rahman,3,345,307,6.74,115.0
Shehan Jayasuriya,3,277,314,5.29,92.33
Yasir Arafat,2,308,355,5.21,154.0
