year,bat,runs,balls,sr
2021,CP Rizwan,110,149,73.83
2021,Calum MacLeod,115,240,47.92
2021,Chad Soper,129,185,69.73
2021,Chamika Karunaratne,200,247,80.97
2021,Charith Asalanka,326,380,85.79
2021,Charles Amini,87,131,66.41
2021,Craig Ervine,121,161,75.16
2021,Craig Williams,75,93,80.65
2021,Curtis Campher,227,280,81.07
2021,Damien Ravu,61,90,67.78
2021,Danushka Gunathilaka,271,293,92.49
2021,Darren Bravo,168,235,71.49
2021,Daryl Mitchell,112,98,114.29
2021,Dasun Shanaka,247,349,70.77
2021,David Miller,136,128,106.25
2021,Dawid Malan,130,150,86.67
2021,Deepak Chahar,69,82,84.15
2021,Devon Conway,225,255,88.24
2021,Dhananjaya de Silva,304,420,72.38
2021,Dimuth Karunaratne,84,110,76.36
2021,Dinesh Chandimal,108,161,67.08
2021,Dion Myers,93,143,65.03
2021,Dushmantha Chameera,110,168,65.48
2021,Dylan Budge,102,134,76.12
2021,Elmore Hutchinson,67,79,84.81
2021,Eoin Morgan,103,130,79.23
2021,Evin Lewis,233,307,75.9
2021,Fakhar Zaman,365,397,91.94
2021,Gajanand Singh,57,76,75.0
2021,Gaudi Toka,78,116,67.24
2021,George Dockrell,151,196,77.04
2021,George Munsey,230,281,81.85
2021,Gulbadin Naib,38,56,67.86
2021,Gulsan Jha,28,53,52.83
2021,Gyanendra Malla,196,289,67.82
2021,Hardik Pandya,119,89,133.71
2021,Harry Tector,454,600,75.67
2021,Hashmatullah Shahidi,92,125,73.6
2021,Heinrich Klaasen,120,134,89.55
2021,Henry Nicholls,80,92,86.96
2021,Hiri Hiri,19,58,32.76
2021,Imam-ul-Haq,189,239,79.08
2021,JJ Smit,150,132,113.64
2021,James Vince,158,147,107.48
2021,Janneman Malan,509,553,92.04
2021,Jaskaran Malhotra,261,250,104.4
2021,Jason Holder,73,102,71.57
2021,Jason Kila,92,170,54.12
2021,Jason Mohammed,79,146,54.11
2021,Jason Roy,175,145,120.69
2021,Jatinder Singh,263,248,106.05
2021,Javed Ahmadi,73,89,82.02
2021,Joe Root,147,174,84.48
2021,Jonny Bairstow,291,239,121.76
2021,Josh Philippe,65,89,73.03
2021,KL Rahul,177,175,101.14
2021,Kaleemullah,68,59,115.25
2021,Karan KC,76,87,87.36
2021,Karima Gore,80,95,84.21
2021,Kashyap Prajapati,116,146,79.45
2021,Keshav Maharaj,69,64,107.81
